Turma;Ano de Ingresso;Ano Egresso;Você está empregado no Einstein?;Você está empregado na área em que se formou?;Se sim, em qual instituição?;Em qual cargo?;Progressão de carreira;Caso esteja empregado, em qual unidade/setor está trabalhando?;Curso;Formação;Lyceum (Sit Aluno);Situação do aluno;Pendência;Motivo do cancelamento;Data do cancelamento;Mês do cancelamento;Data de reabertura;Observação;Respondeu a pesquisa?;O docente indica?;Pretende iniciar alguma graduação?;Local de trabalho;tratativa de repetido
ENF20N2S;ago/20;jun/22;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;;Unidade de Internação Geriátrica;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Faz estágio extra curricular ;Não;Sim;;Einstein;sim
ADMPTA 22M1S;fev/22;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Assistente de atendimento II;;MDA;Curso Técnico em Administração com Ênfase nos Serviços de Saúde;Curso Técnico em Administração com Ênfase nos Serviços de Saúde;Ativo;Aprovado;;;;;;Monitoria Unidade Paulista/ Perdeu uma entrevisto por motivo de força maior, quer muito trabalhar no einstein;;;;;sim
5T;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF EURO 3T;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MA;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Não;UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Unidade de Internação/Uro-Nefro;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
5MB;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
ENF EURO 3T;ago/18;jun/20;;Sim;Hospital Sírio Libanês;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Materno Infantil;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Materno Infantil;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MB;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
6MA/6MB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Unidade de Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5T;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MA;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;;Sim;Cruz Vermelha;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MA;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;CTI Pediatrica;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5T;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7N;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Consultórios de Enfermagem;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
7M;ago/19;jun/21;;Sim;Prevent Sênior;Auxiliar de Enfermagem;;Pequenas cirurgias;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;Não foi aprovada no Processo Seletivo do Einstein;;;;;
ENF EURO 3T;ago/18;jun/20;;Sim;Hospital Sírio Libanês;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Não;CRM - Transplante;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
RAD21N1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Representante Serviço Atendimento II;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Concluido;Aprovado;;;;;;Celular desligado;;;;Einstein;sim
6N;fev/18;dez/19;;Sim;Sameb;Técnico de Enfermagem;Não;Pronto Socorro;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;;Sim;Seconpi;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;Complemento;;;;;;;;;;
ENF21M2S;ago/21;jun/23;Sim;Sim;HMVSC;Auxiliar Enfermagem;;Assistencial Imagem;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;;;Home Care;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7N;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Consultórios de Enfermagem;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Unidade de Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
5T;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7M;ago/19;jun/21;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;Fez estágio extra - Clínica Einstein - Chácara Klabin - demitida por comportamento;;;;;
6MA/6MB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7N;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;Técnica de Enfermagem;;Morumbi - CC;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
7N;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
6MA/6MB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;UPA;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;Complemento;;;;;;;;;;
AC21N1S;fev/21;dez/22;Não;Sim;DASA;Assistente de coleta 1;;Laboratório Clínico Delboni;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;sim
6MA/6MB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
6MA/6MB;fev/19;dez/20;;Não tem interesse;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Não tem interesse em atuar na área técnica. Esta fazendo FICSAE;;;Cursando;;
ENF EURO 3T;ago/18;jun/20;;Sim;Hospital Sírio Libanês;;;Transporte;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MA;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Centro de Diálise;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Semi Intensiva;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Cancelado;;Motivos Pessoais;17/02/2022;;;;;;;;
5MB;jan/18;dez/19;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Reprovado ;Por nota no estágio de PAI I , Estágio de APPS;;;;;;;;;;
5T;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5T;jan/18;dez/19;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Não atende;;;;;
ENF20M2S;ago/20;jun/22;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar sala;;Assistencial;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;Einstein;sim
9N;ago/19;jun/21;;Sim;HMVSC;Auxiliar de Enfermagem;Técnico em Enfermagem;Internação Oncologia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
7N;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Pronto Atendimento  - Unidade Morumbi;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
8N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico em Enfermagem;Morumbi - UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico em Enfermagem;Morumbi - UTI;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Banco de Sangue Paulista;Auxiliar de Enfermagem;;Coleta;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
5T;jan/18;dez/19;;Não;Hospital Israelita Albert Einstein;Estagiário Técnico Extracurricular ;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Unidade de Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF21M2S;ago/21;jun/23;;Não;Hospital Israelita Albert Einstein;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Financeiro;01/12/2021;;;;;;;;
5MA;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ADMPTA 22M1S;fev/22;dez/22;;Não tem interesse;;;;;Curso Técnico em Administração com Ênfase nos Serviços de Saúde;Curso Técnico em Administração com Ênfase nos Serviços de Saúde;Ativo;Aprovado;;;;;;Monitoria;;;;;sim
5MB;jan/18;dez/19;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Reprovado ;Por nota estágio de Assistência de Enfermagem ao paciente grave;;;;;;Sim;;;;
9N;ago/19;jun/21;;Sim;Hospital Modelo Intermédica;Auxiliar de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Não;Cursando;;
7M;ago/19;jun/21;;Sim;Hospital Edmundo Vasconcelos;Auxiliar de Enfermagem;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Cancelado;Terminou o Auxiliar na 7M;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
7M;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Time Multiprofissional de Hospitalistas;Curso Técnico de Enfermagem;Técnico em Enfermagem;Ativo;Aprovado ;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - CC;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - CC;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF21M2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;Financeiro;09/10/2021;;;;;;;;
ENF20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Busca emprego na área;Sim;Sim;Sim;;
AC21N1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Representante Serviço Atendimento II;;Faria Lima;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;sim
5MB;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
6MA/6MB;fev/19;dez/20;;Sim;VACINAR;Auxiliar de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;Cursando;;
5MA;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Não;Oncologia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF22N1S;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de enfermagem ; sim - auxiliar de enfermagem;Semi intensiva- morumbi;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Centro Cirúrgico Day Clinic;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
ENF20T1S;fev/20;dez/21;Sim;Sim;HMVSC;Auxiliar Enfermagem;Sim;Reabilitação neurofuncional;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;
8N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico em Enfermagem;Materno Infantil;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico em Enfermagem;Materno Infantil;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7M;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Time Multiprofissional de Hospitalistas;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;;;;;;
ENF21M2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;CT_Pessoal;01/10/2021;;;;;;;;
7M;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Assistencial;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Numero não existe;Sim;;;;
ENF21N2S;ago/21;jun/23;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;;?;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;Concluiu o AE na turma ENF21M2S. Transferida para turma ENF21N2S;;;;;;;;;;
ENF21M2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;Transferida para turma ENF22M1S;E-Outra IE;15/02/2023;fev/23;;;;;;;
6MA/6MB;fev/19;dez/20;;Sim;HMVSC;;;Materno Infantil;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;Concluiu;;
5MA;jan/18;dez/19;;Sim;Hospital Sepaco;Técnico de Enfermagem;Técnico de Enfermagem;UTI - Adulto;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;;Não;;; Não;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Procura emprego na área;;;;;
ENF21N2S;ago/21;jun/23;Sim;Sim;HMVSC;Auxiliar Enfermagem;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;Faz PO;;;;;;;;;;
ADMPTA 22M1S;fev/22;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Administrativo II;;Unidade Morumbi;Curso Técnico em Administração com Ênfase nos Serviços de Saúde;Curso Técnico em Administração com Ênfase nos Serviços de Saúde;Ativo;Aprovado;;;;;;Monitoria Morumbi;;;;Einstein;sim
8N;fev/19;dez/20;;Sim;Clínica Einstein Parque da Cidade;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;;Sim;Clínica Einstein Parque da Cidade;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF22N1S;fev/22;dez/23;Não;Sim;HC e Menino Jesus;Técnico Enfermagem;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;Transferida para a Morato;;;;;;;;;;
5MB;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Morumbi - Cardiologia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
8N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Técnico em Enfermagem;Morumbi - Unidade de Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Técnico em Enfermagem;Morumbi - Unidade de Internação;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF22N1S;fev/22;dez/23;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;Reprovada em Iniciação Científica/PO;;;;;
ENF EURO 3T;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;UPA;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MA;jan/18;dez/19;;Sim;Residencial Jardim da Saúde;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Home care;Cuidador de Idosos;;Home Care;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico em Enfermagem;Morumbi - Unidade de Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
6MA/6MB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Técnico em Enfermagem;Morumbi - Unidade de Internação;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Técnico em Enfermagem;Morumbi - Unidade de Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF EURO 3T;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Transporte Pacientes;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Especialista;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
5MA;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
ENF EURO 3T;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;;;Morumbi - Semi Intensiva;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Sim;CME;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Sim;CME;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
7N;ago/18;jun/20;;Sim;Hospital Israelita Albert Einstein;;;Morumbi - UTI;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
ENF20M1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Assistencial - Internação Oncologia;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;;;
5T;jan/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Aprovado;;;;;;;;;;;
4MB;jan/17;dez/18;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Cancelado;Cancelado;;Saúde;10/12/2018;;;;;;;;
4MC;jan/17;dez/18;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Aprovado;;Saúde;10/12/2018;;;;;;;;
ENF20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;;Centro Cirúrgico Day Clinic;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;;
6N;fev/18;dez/19;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;Técnico de Enfermagem;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
9N;ago/19;jun/21;;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Morumbi - Ultrassom;Curso Técnico de Enfermagem;Técnico em Enfermagem;Ativo;Aprovado;;;;;;;Sim;;;;
ENF21M2S;ago/21;jun/23;;Não;;;;;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Cancelado;Cancelado;;CT_Conciliação;18/10/2021;;;;;;;;
8N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Não;Morumbi - Clínica Médica;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
8NA/8NB;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Não;Morumbi - Clínica Médica;Curso Técnico de Enfermagem;Auxiliar de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6MA/6MB;fev/19;dez/20;;Sim;Hospital Sírio Libanês;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
6T;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Técnico de Processos de Garantia de Receita;;Processos de Garantia de Receita - Unidades Externas Morumbi;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;
